Loading 7 scene(s): ['07-004', '10-003', '12-002', '16-002', '17-004', '22-005', '18-003']
train patches: 2349, val patches: 423
class weights: {'background': 0.5049043893814087, 'line_marking': 5.861933708190918, 'crosswalk': 4.554579257965088, 'other': 20.0}
epoch 40/80  loss=1.1149  val_mIoU=0.5112  {'background': 0.9547, 'line_marking': 0.1779, 'crosswalk': 0.4011, 'other': None}  (21.8s)
epoch 41/80  loss=1.1117  val_mIoU=0.5073  {'background': 0.9514, 'line_marking': 0.1499, 'crosswalk': 0.4207, 'other': None}  (21.8s)
epoch 42/80  loss=1.1173  val_mIoU=0.5148  {'background': 0.9618, 'line_marking': 0.154, 'crosswalk': 0.4285, 'other': None}  (21.8s)
epoch 43/80  loss=1.1166  val_mIoU=0.5170  {'background': 0.9597, 'line_marking': 0.1681, 'crosswalk': 0.4232, 'other': None}  (21.8s)
epoch 44/80  loss=1.1054  val_mIoU=0.5050  {'background': 0.9625, 'line_marking': 0.1565, 'crosswalk': 0.3958, 'other': None}  (21.8s)
epoch 45/80  loss=1.1163  val_mIoU=0.5135  {'background': 0.9564, 'line_marking': 0.1667, 'crosswalk': 0.4172, 'other': None}  (21.8s)
epoch 46/80  loss=1.1082  val_mIoU=0.4880  {'background': 0.9539, 'line_marking': 0.1602, 'crosswalk': 0.35, 'other': None}  (21.8s)
epoch 47/80  loss=1.1013  val_mIoU=0.5206  {'background': 0.9602, 'line_marking': 0.1533, 'crosswalk': 0.4485, 'other': None}  (21.8s)
epoch 48/80  loss=1.0968  val_mIoU=0.4987  {'background': 0.9607, 'line_marking': 0.1337, 'crosswalk': 0.4017, 'other': None}  (21.8s)
epoch 49/80  loss=1.0879  val_mIoU=0.5095  {'background': 0.9575, 'line_marking': 0.17, 'crosswalk': 0.4011, 'other': None}  (21.8s)
epoch 50/80  loss=1.0867  val_mIoU=0.5230  {'background': 0.959, 'line_marking': 0.1739, 'crosswalk': 0.4362, 'other': None}  (21.8s)
epoch 51/80  loss=1.0883  val_mIoU=0.5192  {'background': 0.9578, 'line_marking': 0.168, 'crosswalk': 0.4319, 'other': None}  (21.8s)
epoch 52/80  loss=1.0825  val_mIoU=0.4953  {'background': 0.9498, 'line_marking': 0.1548, 'crosswalk': 0.3813, 'other': None}  (21.8s)
epoch 53/80  loss=1.0873  val_mIoU=0.5174  {'background': 0.9616, 'line_marking': 0.1553, 'crosswalk': 0.4353, 'other': None}  (21.8s)
epoch 54/80  loss=1.0725  val_mIoU=0.5098  {'background': 0.9571, 'line_marking': 0.1359, 'crosswalk': 0.4363, 'other': None}  (21.8s)
epoch 55/80  loss=1.0697  val_mIoU=0.5201  {'background': 0.9602, 'line_marking': 0.1382, 'crosswalk': 0.4619, 'other': None}  (21.8s)
